medbio_id	post	pre
m32072	0159.AZ03.32072.20201026.SAL	0159.AZ03.32072.20190307.SAL
m32077	0159.AZ03.32077.20201018.SAL	0159.AZ03.32077.20190529.SAL
m32080	0159.AZ03.32080.20201008.SAL	0159.AZ03.32080.20190624.SAL
m32081	0159.AZ03.32081.20201007.SAL	0159.AZ03.32081.20190708.SAL
m32082	0159.AZ03.32082.20201019.SAL	0159.AZ03.32082.20190711.SAL
m32084	0159.AZ03.32084.20201019.SAL	0159.AZ03.32084.20190613.SAL
m32085	0159.AZ03.32085.20200915.SAL	NA
m32089	0159.AZ03.32089.20201016.SAL	NA
m32091	0159.AZ03.32091.20201021.SAL	0159.AZ03.32091.20191122.SAL
m32093	0159.AZ03.32093.20200917.SAL	0159.AZ03.32093.20191205.SAL
m32095	0159.AZ03.32095.20200925.SAL	0159.AZ03.32095.20191212.SAL
m32096	0159.AZ03.32096.20200919.SAL	0159.AZ03.32096.20191218.SAL
m32098	0159.AZ03.32098.20200922.SAL	0159.AZ03.32098.20200122.SAL
m32099	0159.AZ03.32099.20201021.SAL	0159.AZ03.32099.20200127.SAL
